"Employers who were issued a positive Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and business location in 2018 (July-September)",,,,, 
Province/Territory,Stream,Employer,Address,Occupations under NOC 2011,Approved Positions 
,,Darryl Barton Farms Ltd,"OUTLOOK, SK S0L 2N0",8431-General farm workers,4
,,Dietrich Farms Ltd.,"Mendham, SK S0N 1P0",8431-General farm workers,1
,,Girodat Seeds Ltd.,"Shaunavon, SK S0N 2M0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,Lakeshore Tree Farms Ltd,"Saskatoon, SK S7K 3J6",8432-Nursery and greenhouse workers,1
,,Lyndon Olson Farms Inc,"Archerwill, SK S0E 0B0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,Palmer Charolais Land & Cattle Co Ltd.,"Bladworth, SK S0G 0J0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,Path Head Farms Ltd,"Cabri, SK S0N 0J0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,Pedigree Poultry Ltd.,"Regina Beach, SK S0G 4C0",8431-General farm workers,6
,,Ross' L-Seven Ranch Ltd.,"ESTEVAN, SK S4A 2A3","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,Schlamp Cattle Company Ltd.,"MOSSBANK, SK S0H 3G0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,Welsch Farms Inc.,"Cut Knife, SK S0M 0N0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,X6 Farms Inc,"CARONPORT, SK S0H 0S0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Alberta,    High Wage,1238067 AB Ltd o/a Cheema Trucking,"EDMONTON, AB T5Y 0L5","7305-Supervisors, motor transport and other ground transit operators",1
,,1294631 Alberta Ltd o/a Paradise Inn & Suites,"Grande Prairie, AB T8V 3Y1",0632-Accommodation service managers,1
,,1371487 Alberta Ltd,"Cochrane, AB T4C 0E6",0621-Retail and wholesale trade managers,1
,,1587198 Alberta Ltd,"EDMONTON, AB T6L 4P8",7511-Transport truck drivers,1
,,1682562 Alberta Ltd.,"EDMONTON, AB T5X 6C1",1221-Administrative officers,1
,,1693312 Alberta Ltd.,"Calgary, AB T3K 5Z7",0621-Retail and wholesale trade managers,1
,,1746826 Alberta Ltd.,"EDMONTON, AB T5Y 3S5",1241-Administrative assistants,1
,,1821942 Alberta Ltd.,"EDMONTON, AB T6X 0B1",6316-Other services supervisors,1
,,2025904 Alberta Ltd.,"PROVOST, AB T0B 3S0",0631-Restaurant and food service managers,1
,,21 Century Seafood Inc,"Calgary, AB T2G 1Z6",6222-Retail and wholesale buyers,1
,,2113590 Alberta Ltd,"CALGARY, AB T2L 0A1","0651-Managers in customer and personal services, n.e.c.",1
,,255172 Alberta Ltd,"Sherwood Park, AB T8A 4N5",0621-Retail and wholesale trade managers,1
,,9016970 Canada Inc. o/a Rock Rover Transport,"Edmonton, AB T6T 1T5",7511-Transport truck drivers,8
,,ABS Trucking Ltd,"Edmonton, AB T5W 5J6",7511-Transport truck drivers,6
,,ABS Truckwash and Lube Ltd,"EDMONTON, AB T5W  5J",6315-Cleaning supervisors,1
,,Access Helicopters Ltd,"Okotoks, AB T1S 0G5","2271-Air pilots, flight engineers and flying instructors",2
,,Advance Drywall Ltd.,"CALGARY, AB T3J 0H9","7284-Plasterers, drywall installers and finishers and lathers",2
,,AJP Maan Enterprises Ltd,"EDMONTON, AB T6T 0R8",7511-Transport truck drivers,3
,,Alberta Concrete Pumping Ltd,"EDMONTON, AB T6P 1L7",7282-Concrete finishers,8
,,Alberta Exteriors Ltd,"EDMONTON, AB T5T 2E3","7284-Plasterers, drywall installers and finishers and lathers",1
,,Alberta Geomatics Inc.,"Edmonton, AB T6B 3H9",2254-Land survey technologists and technicians,1
,,Alberta Health Services,"SPRUCE GROVE, AB T7X 3A8",3111-Specialist physicians,4
,,,,3112-General practitioners and family physicians,2
,,Alberta Production Machining Ltd,"Edmonton, AB T6B 3S5",7231-Machinists and machining and tooling inspectors,1
,,All Western Contracting Ltd.,"Edmonton, AB T5C 1R9","7284-Plasterers, drywall installers and finishers and lathers",2
,,Alpha Tile Ltd,"Edmonton, AB T5T 5J4",7283-Tilesetters,3
,,,,"7302-Contractors and supervisors, heavy equipment operator crews",1
,,ANDERWERKS LTD,"CALGARY, AB T2E 6R4","7334-Motorcycle, all-terrain vehicle and other related mechanics",1
,,Areo Homes Pvt Ltd,"Edmonton, AB T6N 1B7",1221-Administrative officers,1
,,Atlas Granite Inc,"Edmonton, AB T5L 3C4","1123-Professional occupations in advertising, marketing and public relations",1
,,,,"1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,AV Exterior Ltd,"EDMONTON, AB T5V 1H7","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",2
,,Axial Group Inc,"CALGARY, AB T2G 1Y8",0911-Manufacturing managers,1
,,Aztec Landscaping Ltd,"GRANDE PRAIRIE, AB T8V 4N4",2225-Landscape and horticulture technicians and specialists,1
,,B25 Canada Productions Ltd.,"CALGARY, AB T2A 2M3","5131-Producers, directors, choreographers and related occupations",1
,,Ballroom & Country Dance Studio,"Calgary, AB T2E 1L7",5134-Dancers,1
,,BCN Transport Ltd,"AIRDRIE, AB T4B 3X8","7305-Supervisors, motor transport and other ground transit operators",1
,,Blacktop Paving Inc.,"EDMONTON, AB T6S 1N4",7282-Concrete finishers,2
,,,,7521-Heavy equipment operators (except crane),2
,,BOW VALLEY LIVESTOCK HEALTH LTD,"Brooks, AB T1R 1C1",3114-Veterinarians,1
,,BP Machine Ltd.,"EDMONTON, AB T6B 2N3",7231-Machinists and machining and tooling inspectors,2
,,Brend-Vik Canada Inc.,"CALGARY, AB T2T 3L8",2174-Computer programmers and interactive media developers,1
,,Business at Inc,"CALGARY, AB T2W 0K6",7283-Tilesetters,1
,,Calgary Golf Promotion Limited Partnership,"CALGARY, AB T2P 3G6",1226-Conference and event planners,1
,,Calgary International Film Festival Society,"CALGARY, AB T2G 0X8","5131-Producers, directors, choreographers and related occupations",1
,,Canadian Mountain Holidays LP,"Banff, AB T1L 1J6","5254-Program leaders and instructors in recreation, sport and fitness",6
,,Candream Immigration Consultancy Services Inc.,"EDMONTON, AB T6X 0T3",1311-Accounting technicians and bookkeepers,1
,,Canmak Ltd.,"Edmonton, AB T5Y 0E4",7511-Transport truck drivers,2
,,Canwide Carriers Ltd,"Edmonton, AB T6T 0P6",1221-Administrative officers,1
,,,,7511-Transport truck drivers,2
,,Cemrock Concrete & Construction Ltd,"Calgary, AB T2B 1M4",7282-Concrete finishers,5
,,Cheema Janitorial Services Ltd.,"EDMONTON, AB T5Z 3R3",1241-Administrative assistants,1
,,,,6315-Cleaning supervisors,2
,,Chinook Valley Construction Ltd,"SEXSMITH, AB T0H 3C0","7284-Plasterers, drywall installers and finishers and lathers",1
,,Christensen & McLean Roofing Co. Ltd,"Edmonton, AB T5V 1H8",7291-Roofers and shinglers,5
,,Clear Choice Auto Inc.,"EDMONTON, AB T6X 1K7",0621-Retail and wholesale trade managers,1
,,Colbo Construction Ltd,"EDMONTON, AB T6M 0V3",7295-Floor covering installers,2
,,Complete Care Restoration Services Ltd,"Edmonton, AB T5M 3E8",7271-Carpenters,1
,,Connect Utility Services Ltd.,"CALGARY, AB T2G 2A7",7312-Heavy-duty equipment mechanics,1
,,Conqur Industries Inc.,"Two Hills, AB T0B 4K0",0621-Retail and wholesale trade managers,1
,,CRS Crane Systems Inc,"Sherwood park, AB T8H 2K2",7371-Crane operators,1
,,D.O.T. Logistics Inc,"Calgary, AB T3J 4L9","7305-Supervisors, motor transport and other ground transit operators",1
,,Dannburg Holdings Corporation Limited,"Calgary, AB T2G 4M6",7283-Tilesetters,1
,,Destinies Inc,"EDMONTON, AB T5C 0C6","0013-Senior managers - financial, communications and other business services",1
,,DLH Trucking Inc,"Rockview, AB T1X 0K2",7511-Transport truck drivers,3
,,DS Homes Inc.,"CALGARY, AB T1Y 6M6","7204-Contractors and supervisors, carpentry trades",1
,,,,7283-Tilesetters,1
,,DT Global Ltd.,"Edmonton, AB T5S 2J6",6211-Retail sales supervisors,2
,,Durabuilt Windows & Doors Inc.,"Edmonton, AB T5S 1R7","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,Dx Medical Centres Inc.,"Edmonton, AB T6K 3Y7",3112-General practitioners and family physicians,1
,,Engelbertink Sales & Distribution Ltd,"Edmonton, AB T5G 3J7",0621-Retail and wholesale trade managers,1
,,Era Project Ltd,"CALGARY, AB T2Y 2W6","7284-Plasterers, drywall installers and finishers and lathers",1
,,Euro Marble Tiles & Granite Ltd,"Edmonton, AB T5J 3N1","7284-Plasterers, drywall installers and finishers and lathers",2
,,Exclusive Drywall Ltd.,"Edmonton, AB T6X 0P2","7284-Plasterers, drywall installers and finishers and lathers",5
,,Fancy Doors & Mouldings Ltd,"Edmonton, AB T6B 3S5",1241-Administrative assistants,1
,,FC Telec Consultants Ltd,"EDMONTON, AB T6X 0B1",0211-Engineering managers,1
,,First Class Fencing Inc.,"CALGARY, AB T2H 2H2",0601-Corporate sales managers,1
,,Five River Express Ltd.,"Edmonton, AB T6L 7E2",7511-Transport truck drivers,2
,,Five Rivers Repair Services Inc o/a Five Rivers,"Edmonton, AB T6P 1P6",0621-Retail and wholesale trade managers,1
,,Flexahopper Plastics Ltd.,"Lethbridge, AB T1H 5J2",2211-Chemical technologists and technicians,1
,,Fortis LGS Structures Inc,"Edmonton, AB T6N 0A3",7283-Tilesetters,4
,,G & S Gill Trucking Ltd,"EDMONTON, AB T5X 0E1","7305-Supervisors, motor transport and other ground transit operators",1
,,Gaudi Orthodontics Inc.,"CALGARY, AB T1Y 5Z8","3223-Dental technologists, technicians and laboratory assistants",1
,,General Roofing & Waterproofing Systems Inc.,"Calgary, AB T3K 3Y9",7291-Roofers and shinglers,2
,,Giusti Group LP,"Calgary, AB T3S 0A2",7271-Carpenters,2
,,Glass Projects Ltd.,"CALGARY, AB T2K 1Y6",7292-Glaziers,1
,,GLC Vet Services Ltd.,"AIRDRIE, AB T4B 3M2",1221-Administrative officers,1
,,,,3114-Veterinarians,1
,,Globalhire Placement Services Inc.,"Edmonton, AB T6B 3S3",1221-Administrative officers,1
,,Golden Pinnacle Consultants Ltd.,"Edmonton, AB T5J 2B8","0013-Senior managers - financial, communications and other business services",1
,,Goran Contracting Ltd.,"EDMONTON, AB T6M 0L9",7282-Concrete finishers,2
,,Great Pacific Equities Inc. / Delcon Capital,"EDMONTON, AB T6E 2A4",5135-Actors and comedians,1
,,Great White Holdings Ltd.,"EDMONTON, AB T5T 4T6",0632-Accommodation service managers,1
,,Gur-Fateh Transport Ltd,"CALGARY, AB T3J 4S8","7305-Supervisors, motor transport and other ground transit operators",1
,,Hirt's Vacuum Truck Service Ltd,"High Level, AB T0H 1Z0","7305-Supervisors, motor transport and other ground transit operators",1
,,Husky Oil Operations Limited,"Calgary, AB T2P 3G7","0016-Senior managers - construction, transportation, production and utilities",3
,,Icon Flooring (2010) Inc.,"Edmonton, AB T6E 6W2",7295-Floor covering installers,4
,,Impression Print n Sign Inc,"Edmonton, AB T6E 6H6","0124-Advertising, marketing and public relations managers",1
,,Infinique & Natural Beauty Ltd.,"Edmonton, AB T5T 2T1","6562-Estheticians, electrologists and related occupations",2
,,"Interlude Skin Care, Massage & Acupuncture Therapy","EDMONTON, AB T5N 0M3",3236-Massage therapists,1
,,International Painting and Drywall Co Ltd,"Edmonton, AB T5L 1C9","7284-Plasterers, drywall installers and finishers and lathers",3
,,Joe Media Group Inc.,"Calgary, AB T2G 1R7","5131-Producers, directors, choreographers and related occupations",1
,,,,5222-Film and video camera operators,1
,,Jon & Jay Dental Laboratory Ltd,"Calgary, AB T2M 1A6","3223-Dental technologists, technicians and laboratory assistants",1
,,KAIZEN AUTO GROUP LTD,"Calgary, AB T2G 4G2","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",10
,,Kajata Inc.,"Calgary, AB T2T 0G7",1122-Professional occupations in business management consulting,1
,,KDH DRYWALL (2012) LTD.,"Sherwood Park, AB T8H 2J6","7284-Plasterers, drywall installers and finishers and lathers",1
,,Kerr Interior Systems Ltd,"Edmonton, AB T6E 0E1","7284-Plasterers, drywall installers and finishers and lathers",1
,,Keystone Cladding Ltd,"EDMONTON, AB T6J 5L3","7284-Plasterers, drywall installers and finishers and lathers",1
,,KMS Contracting,"CALGARY, AB T2G 3E5","7284-Plasterers, drywall installers and finishers and lathers",2
,,Letniak Land & Cattle Ltd.,"Veteran, AB T0C 2S0",7312-Heavy-duty equipment mechanics,1
,,LGS Transport Inc,"Edmonton, AB T6T 1Y2",7511-Transport truck drivers,4
,,LN Contractors Inc.,"EDMONTON, AB T6L 0A4","7284-Plasterers, drywall installers and finishers and lathers",10
,,LNG Canada Development Inc,"CALGARY, AB T2P 2H5",1122-Professional occupations in business management consulting,1
,,Lotus Janitorial Services Ltd.,"CALGARY, AB T3P 0A3",6315-Cleaning supervisors,1
,,Master Flo Valve Inc,"EDMONTON, AB T6B 2H5","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
,,Micralyne Inc,"EDMONTON, AB T6N 1E6",2141-Industrial and manufacturing engineers,1
,,MK Construction Limited,"FORT MCMURRAY, AB T9H 2L8",0711-Construction managers,1
,,Morwest Crane & Services Ltd,"Calgary, AB T2H 1K1",7294-Painters and decorators (except interior decorators),2
,,Mud Lake Waterfowl Adventures Ltd.,"SHERWOOD PARK, AB T8A 6J2",6532-Outdoor sport and recreational guides,2
,,Nimet S. Jinnah Professional Corporation,"Fort Saskatchewan, AB T8L 3W2","1211-Supervisors, general office and administrative support workers",1
,,Northern Concrete Services Ltd,"St. Albert, AB T8N 5A3",7282-Concrete finishers,1
,,NOVA Chemicals Corporation,"Calgary, AB T2P 5L5","2148-Other professional engineers, n.e.c.",1
,,O. J. Pipelines Canada Corporation,"NISKU, AB T9E 7M9",2243-Industrial instrument technicians and mechanics,3
,,Out of Hand Limited,"Calgary, AB T3E 5R7",4216-Other instructors,1
,,Pabyal Construction Inc,"CHESTERMERE, AB T1X 0R8","7284-Plasterers, drywall installers and finishers and lathers",2
,,PCL Constructors Inc.,"Edmonton, AB T6E 5L7",2254-Land survey technologists and technicians,1
,,Peak Logistics 2008 Ltd.,"Rocky View, AB T1X 0V9",1241-Administrative assistants,1
,,Pitbull Energy Services Ltd.,"EDMONTON, AB T6P 1K9",7312-Heavy-duty equipment mechanics,1
,,Primecare Health Inc.,"Calgary, AB T2Z 3R6",3112-General practitioners and family physicians,2
,,PVN Flooring Ltd,"EDMONTON, AB T5T 4R5",7295-Floor covering installers,1
,,Quickload Waterfowl Outfitters Ltd.,"Lloydminster, AB T9V 1Y9",6532-Outdoor sport and recreational guides,2
,,RAC Group Inc.,"CALGARY, AB T2E 7A4","7384-Other trades and related occupations, n.e.c.",1
,,Raj Woodwork Ltd.,"Edmonton, AB T6T 1N4",0711-Construction managers,1
,,Raja Trucking Ltd.,"Edmonton, AB T6T 1N4",1241-Administrative assistants,1
,,Refined Interiors Ltd.,"EDMONTON, AB T5S 1G4","7284-Plasterers, drywall installers and finishers and lathers",6
,,Residential Insulation Specialists Inc.,"STURGEON, AB T8T 0C3",7293-Insulators,12
,,Rimrock Resort Hotel Corporation,"Banff, AB T1L 1J2",6321-Chefs,1
,,Rony Soos Trucking Ltd,"CALGARY, AB T3J 0B1","0016-Senior managers - construction, transportation, production and utilities",1
,,Sabre Concrete Construction Inc,"EDMONTON, AB T6L 1R2",7282-Concrete finishers,1
,,Sam Sandhu Computers Ltd.,"EDMONTON, AB T6X 0L4",2281-Computer network technicians,1
,,Sam's Excavating and Landscaping Ltd.,"Edmonton, AB T6W 3S3",7521-Heavy equipment operators (except crane),2
,,Sensoplex Canada Inc.,"CALGARY, AB T2M 0M6",5241-Graphic designers and illustrators,1
,,Serit Fire Protection Inc.,"EDMONTON, AB T5X 5X5","7252-Steamfitters, pipefitters and sprinkler system installers",1
,,Shan Construction Services Ltd,"EDMONTON, AB T6P 1S1",7521-Heavy equipment operators (except crane),3
,,Sikati Enterprises Ltd,"Calgary, AB T3R 0M4",7511-Transport truck drivers,1
,,Silver Mechanical services (2013) Ltd.,"ACHESON, AB T7X 6B2","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,"Sinopec USA, Inc","CALGARY, AB T2P 0H9",0601-Corporate sales managers,1
,,Skycad Dental Technology Ltd.,"Calgary, AB T2M 1A6","3223-Dental technologists, technicians and laboratory assistants",3
,,Skyline Furniture Ltd,"Calgary, AB T2B 1N5","9217-Supervisors, textile, fabric, fur and leather products processing and manufacturing",1
,,Source Can Solutions Inc.,"Edmonton, AB T5L 3H3",1221-Administrative officers,1
,,South Pacific Builds Ltd.,"CALGARY, AB T2T 0T7","7204-Contractors and supervisors, carpentry trades",1
,,Startech Services Ltd,"Calgary, AB T3J 2Z8",2242-Electronic service technicians (household and business equipment),1
,,Sunshine Oilsands Ltd.,"Calgary, AB T2P 0P7","0016-Senior managers - construction, transportation, production and utilities",1
,,Superior Flood & Fire Restoration Inc.,"CALGARY, AB T2P 5C5",7271-Carpenters,1
,,Sureflow Weeping Tile Ltd,"EDMONTON, AB T6E 5C5","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",1
,,,,"7284-Plasterers, drywall installers and finishers and lathers",1
,,Swal Computers Limited,"EDMONTON, AB T6X 0T2",2175-Web designers and developers,1
,,Symmetry Accounting and Financial Solutions Inc,"EDMONTON, AB T5M 3W1",1311-Accounting technicians and bookkeepers,1
,,Taron Construction Ltd.,"CALGARY, AB T2E 8C8",7282-Concrete finishers,1
,,Technical Enterprises Ltd.,"Sherwood Park, AB T8A 6K9",2242-Electronic service technicians (household and business equipment),1
,,Thomas Group Inc.,"CALGARY, AB T2E 6W1",1221-Administrative officers,1
,,TMC Construction Management Inc.,"CALGARY, AB T2M 4B9",1225-Purchasing agents and officers,1
,,Tomco Production Services Ltd,"Rocky Mountain House, AB T4T 1A8",0711-Construction managers,1
,,Truckco Mechanical Ltd.,"EDMONTON, AB T5S 2G6",7235-Structural metal and platework fabricators and fitters,1
