"Employers who were issued a positive Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and business location in 2018 (October-December)",,,,, 
Province/Territory,Stream,Employer,Address,Occupaitons under NOC 2011,Approved Positions 
,,Oasys Group of Companies Inc.,"COCHRANE, AB T4C 0T4",6311-Food service supervisors,1
,,O'Briens Pub Ltd,"Calgary, AB T2Z 3E9",6322-Cooks,3
,,OJ's Hollick Restaurant Inc.,"Edmonton, AB T5S 1R5",6322-Cooks,4
,,Okotoks Cleaners Ltd.,"HIGH RIVER, AB T1V 1H5",6316-Other services supervisors,1
,,Olympia Liquor Holdings Ltd.,"Calgary, AB T2H 0C6",6211-Retail sales supervisors,1
,,Origin at Spring Creek Inc.,"Canmore, AB T1W 0K3",6311-Food service supervisors,1
,,Panago Pizza oa 765464 Alberta Ltd,"Leduc, AB T9E 0J2",6311-Food service supervisors,2
,,Pancotto Enterprises Ltd,"Medicine Hat, AB T1B 3R2",6311-Food service supervisors,4
,,PB 26 Inc.,"WABAMUN, AB T0E 2K0",6211-Retail sales supervisors,1
,,People's Trucking Ltd,"Nisku, AB T9E 8T3",1241-Administrative assistants,1
,,Pho Hoai Vietnamese Beef House,"Calgary, AB T2G 0B6",6322-Cooks,2
,,Pira's Enterprises Ltd o/a A&W Restaurant,"CALGARY, AB T2M 0J4",6311-Food service supervisors,1
,,Pita Menina Inc. (O/A Pita Pit),"LETHBRIDGE, AB T1H 6K8",6311-Food service supervisors,1
,,Pizza Hut,"Norglenwold, AB T4S 1S5",6311-Food service supervisors,1
,,Premyumm Enterprises (Lloydminster) Inc. o/a Carl's Jr. Westgate,"LLOYDMINSTER, AB T5V 0X9",0631-Restaurant and food service managers,1
,,,,6311-Food service supervisors,2
,,Prince India Catering Ltd. o/a New Indian Sweet and Restaurant,"Edmonton, AB T6T 0P9",6322-Cooks,2
,,Punjabi Heritage & Folk Ltd.,"EDMONTON, AB T6T 0V1",5133-Musicians and singers,1
,,PUSCH STYLE INC. O/A FREDDY PANT ROOM,"CALGARY, AB T3A 0Z9",6211-Retail sales supervisors,1
,,QSR Edmonton (2009) Ltd o/a Burger King,"Edmonton, AB T5C 3E1",6311-Food service supervisors,5
,,Raj Palace Restaurant Inc,"Calgary, AB T2X 3E9",6311-Food service supervisors,1
,,,,6322-Cooks,1
,,Raj Palace Restaurant-Royal Oak Inc,"Calgary, AB T3R 0R5",6322-Cooks,2
,,Rand-Bro Enterprises Ltd.  o/a Pizza Hut,"GRANDE PRAIRIE, AB T8V 6W7",6322-Cooks,2
,,Rayacom Inc,"Edmonton, AB T5H 4C8",6314-Customer and information services supervisors,1
,,Restaurex Corporation o/a Subway,"Sherwood Park, AB T8H 0B8",0631-Restaurant and food service managers,1
,,,,6311-Food service supervisors,5
,,Ric's Lounge & Grill (Edmonton-Airport) Ltd.,"Edmonton, AB T5Y 0A2",6322-Cooks,2
,,Rimrock Resort Hotel Corporation,"Banff, AB T1L 1J2",6322-Cooks,5
,,Rip Rap Plumbing & Heating,"PARKLAND COUNTY, AB T7Y 2T3",1241-Administrative assistants,1
,,Rising Star Homes Ltd.,"Rocky View County, AB T1Z 0A2","7284-Plasterers, drywall installers and finishers and lathers",2
,,,,7295-Floor covering installers,2
,,Roadhouse Restaurant Ltd.,"Strathmore, AB T1P 1M6",0631-Restaurant and food service managers,1
,,Rose Building Maintenance Ltd,"ST ALBERT, AB T8N 2X4",6315-Cleaning supervisors,5
,,RPC Enterprises Ltd,"Edmonton, AB T6X 0M3",6211-Retail sales supervisors,1
,,RSB Hotel Ventures Inc. o/a Best Western Cedar Park Inn,"EDMONTON, AB T6H 2H4",0631-Restaurant and food service managers,1
,,Rudra Inc.,"Calgary, AB T2R 0C5",6311-Food service supervisors,1
,,Ryusei Enterprises Corporation,"Edmonton, AB T6N 1L5",6322-Cooks,1
,,S Malik Investments Ltd o/a PETRO CANADA,"CALGARY, AB T2C 4E4",6211-Retail sales supervisors,2
,,Sabores Restaurant Ltd.,"CALGARY, AB T2W 4N5",6322-Cooks,1
,,Sakana Grill Inc,"Calgary, AB T2P 0B9",6311-Food service supervisors,1
,,,,6322-Cooks,1
,,Sam Sandhu Computers Ltd.  o/a Freedom Mobile,"EDMONTON, AB T8B 1C6",6211-Retail sales supervisors,2
,,Saratoga Restaurant (1999) Ltd,"Edmonton, AB T6J 5K6",6311-Food service supervisors,1
,,,,6322-Cooks,2
,,Sawridge Properties Limited Partnership o/a Sawridge Travel Centre,"Slave Lake, AB T0G 2A0",6311-Food service supervisors,3
,,,,6322-Cooks,1
,,SB Flower Wholesale Company Ltd.,"Calgary, AB T2N 3R7",5244-Artisans and craftspersons,1
,,Serim Family Enterprises Ltd. o/a McDonald's,"EDMONTON, AB T6W 2G6",6311-Food service supervisors,1
,,Sexsmith Grocery o/a 1261933 Alberta Ltd,"Sexsmith, AB T0H 3C0",6211-Retail sales supervisors,1
,,Shine Clean Ltd.,"RED DEER, AB T4P 0R9",6315-Cleaning supervisors,1
,,Shining Mountain Enterprises Ltd,"Calgary, AB T2Z 7W7",6322-Cooks,1
,,Skylark Stucco Ltd.,"Calgary, AB T3J 4Z2","7284-Plasterers, drywall installers and finishers and lathers",1
,,Slave Lake Bottle Depot Ltd.,"Slave Lake, AB T0G 2A0",6316-Other services supervisors,1
,,Slave Lake Inn And Conference Centre Ltd.,"Slave Lake, AB T0G 2A0","6313-Accommodation, travel, tourism and related services supervisors",2
,,,,6322-Cooks,1
,,Smithco Enterprises Ltd. o/a Subway,"Grande Prairie, AB T8X 0K7",6311-Food service supervisors,3
,,Soleilki Food Holding Ltd. o/a Soleilki Japanese Fusion,"FORT MCMURRAY, AB T9K 1Y1",6311-Food service supervisors,2
,,South Edmonton Common Vitality Health Foods Inc.,"Edmonton, AB T6N 1L5",6211-Retail sales supervisors,1
,,South Hill bottle Depot,"Red Deer, AB T4R 1M3",6316-Other services supervisors,1
,,Spoletini Palumbo Inc. Splolumbus Fine Foods and Deli,"Calgary, AB T2G 0T3",6311-Food service supervisors,1
,,Sri Ganesh Enterprises Inc.,"EDMONTON, AB T6T 0K6",6211-Retail sales supervisors,1
,,SS Stonebridge Del Fitness Corp o/a Motion Fitness,"Grande Prairie, AB T8V 8E6","5254-Program leaders and instructors in recreation, sport and fitness",1
,,St. Jone Truck & Trailer Repairs Ltd.,"CALGARY, AB T1X 0K3",1241-Administrative assistants,1
,,Stanford Hotels & Resorts Inc.,"GRAND PRAIRIE, AB T8V 5M6",6311-Food service supervisors,1
,,Strawberry Street Daycare Centre Ltd,"Edmonton, AB T6L 6G9",4214-Early childhood educators and assistants,1
,,Sukiyaki House (Calgary) Ltd,"Calgary, AB T2P 1K3",6322-Cooks,1
,,Sun-Bower Foods Ltd.,"Red Deer, AB T4R 1N9",6322-Cooks,1
,,Sunshine Food Inc. o/a Opa! Souvlaki,"OKOTOKS, AB T1S 2A5",6322-Cooks,2
,,Sunshine Liquor Co Ltd,"St. Albert, AB T8N 2G4",6211-Retail sales supervisors,1
,,Sunshine Village Corporation,"Banff, AB T1L 1J5","5254-Program leaders and instructors in recreation, sport and fitness",18
,,Sushi BBQ Inn Inc,"Calgary, AB T2M 0K9",6322-Cooks,1
,,T & T Hydroponic Garden Supply,"EDMONTON, AB T5M 2V6",6211-Retail sales supervisors,1
,,Taegeuk Taekwondo Edmonton Inc.,"EDMONTON, AB T5S 1L1","5254-Program leaders and instructors in recreation, sport and fitness",1
,,Tags Food & Gas,"ELK POINT, AB T0A 1A0",6311-Food service supervisors,1
,,The Canadian Brewhouse (Airdrie) Ltd,"Edmonton, AB T6X 0A7",6322-Cooks,7
,,The Canadian Brewhouse (Eastgate) Ltd.,"Edmonton, AB T6X 0A7",6322-Cooks,7
,,THE CANADIAN BREWHOUSE (FORT SASKATCHEWAN) LTD.,"Edmonton, AB T6X 0A7",6322-Cooks,7
,,The Canadian Brewhouse (Leduc) Ltd o/a The Canadian Brewhouse,"Edmonton, AB T6X 0A7",6322-Cooks,5
,,The Canadian Brewhouse (Lloydminster) Ltd,"Edmonton, AB T6X 0A7",6322-Cooks,7
,,The Canadian Brewhouse (Red Deer) Ltd,"Edmonton, AB T6X 0A7",6322-Cooks,7
,,The Canadian Brewhouse (Saskatoon) Ltd.,"Edmonton, AB T6X 0A7",6322-Cooks,7
,,The Medicine Shoppe,"LETHBRIDGE, AB T1K 2C9",1311-Accounting technicians and bookkeepers,1
,,The Park Kitchen & Bar Ltd,"Calgary, AB T2C 5E1",6322-Cooks,3
,,The Pizza Boxx,"Red Deer, AB T4N 6V9",6311-Food service supervisors,1
,,The Ski Club of the Canadian Rockies Limited,"LAKE LOUISE, AB T0L 1E0",0631-Restaurant and food service managers,1
,,The Summit Cafe,"Canmore, AB T1W 1E1",6311-Food service supervisors,1
,,Three Brothers Pizza & Convenience Store Ltd,"CALGARY, AB T1Y 2Z7",6311-Food service supervisors,1
,,Tianshun 118 Development Ltd,"FORT ASSINIBOINE, AB T0G 1A0",6322-Cooks,1
,,TimCourt Enterprises Ltd,"Whitecourt, AB T7S 1W8",6311-Food service supervisors,1
,,To the Core Pilates Studio Ltd.,"LLOYDMINSTER, AB T9V 0Z2","5254-Program leaders and instructors in recreation, sport and fitness",1
,,Tocher Inns & Restaurant Ltd o/a Smittys Restaurant,"Hinton, AB T7V 1N1",6311-Food service supervisors,1
,,Total Depth Vacuum Services Ltd.,"GRANDE PRAIRIE, AB T8W 0B4",6315-Cleaning supervisors,1
,,Touchwood Painting Ltd,"CALGARY, AB T3J 0W2",7294-Painters and decorators (except interior decorators),2
,,Trademark Construction & Flooring Inc,"Edmonton, AB T6N 1H9",7295-Floor covering installers,1
,,Truckco Mechanical Ltd.,"EDMONTON, AB T5S 2G6",7535-Other automotive mechanical installers and servicers,1
,,TUREX WALL SYSTEM INC.,"EDMONTON, AB T5P 1X1","7284-Plasterers, drywall installers and finishers and lathers",3
,,UFO FN Holdings Ltd,"St. Paul, AB T0A 3A0",6311-Food service supervisors,1
,,Underhill Food Services Ltd o/a McDonalds,"Leduc, AB T9E 6T9",6311-Food service supervisors,4
,,Unit Two North 73 Inc,"EDMONTON, AB T5V 0C8",6311-Food service supervisors,1
,,United Roofing Inc.,"Calgary, AB T2G 3K5",7291-Roofers and shinglers,3
,,Urban Edge Homes Ltd.,"EDMONTON, AB T6W 0W4",7611-Construction trades helpers and labourers,1
,,Utopia Commercial Services Inc.,"Edmonton, AB T5K 2K3",6311-Food service supervisors,4
,,Vista Ridge Recreational Association,"Fort McMurray, AB T9H 3G3","5254-Program leaders and instructors in recreation, sport and fitness",5
,,West Heath Holdings Ltd o/a Honeypot Eatery & Pub,"Wainwright, AB T9W 1C5",6321-Chefs,1
,,Western Granite & Stone Ltd.,"Calgary, AB T1Y 5E4",1241-Administrative assistants,1
,,Westlock Inn Ltd.,"Westlock, AB T7P 2G7",6322-Cooks,2
,,Whitefox Enterprises Ltd,"GRANDE PRAIRIE, AB T8V 0P2",6311-Food service supervisors,2
,,Wildrose Garments Mfg Ltd,"EDMONTON, AB T5B 4W3","6342-Tailors, dressmakers, furriers and milliners",1
,,Wow Bakery Ltd. o/a Wow Bakery,"Calgary, AB T2H 0J9",6332-Bakers,1
,,YJ Alberta Ltd. o/a GetnGo / Esso / Pizza Hut Express,"Three Hills, AB T0M 2A0",6311-Food service supervisors,1
,  Primary Agriculture,1065728 Alberta Ltd,"Delia, AB T0J 0W0",8431-General farm workers,17
,,1074456 Alberta Ltd. O/A Mountainview Honey,"Cayley, AB T0L 0P0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",3
,,,,8431-General farm workers,4
,,1246082 Alberta Ltd.,"ARDMORE, AB T0A 0B0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,,,8431-General farm workers,4
,,1368548 Alberta Ltd,"Red Deer County, AB T4G 0C9",8431-General farm workers,15
,,1442578 Alberta Ltd Sub of Strangmuir Holding,"Strathmore, AB T1P 1K3",8431-General farm workers,8
,,1834268 Alberta Ltd dba Greidanus Honey Mill,"HIGH RIVER, AB T1V 1M6",8431-General farm workers,21
,,1927127 Alberta Ltd.,"Armena, AB T0B 0G0",8431-General farm workers,3
,,697625 Alberta Ltd,"DeWinton, AB T0L 0X0",8432-Nursery and greenhouse workers,13
,,761041 Alberta Ltd,"Olds, AB T4H 1P3",8432-Nursery and greenhouse workers,2
,,Albrecht Green Acre Farms Limited,"SCHULER, AB T0J 3B0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,Apiaries of Alberta Pride Ltd,"Tofield, AB T0B 4J0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,Aralyn Poultry Ltd.,"PONOKA, AB T4J 1R3","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,Arie Anita & Gijs Vanden Broek,"Olds, AB T4H 1P2","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,Attache Stables Ltd.,"Foothills (Calgary), AB T1S 3E7","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,AVB Greenhouses Ltd,"STANDARD, AB T0J 3G0",8432-Nursery and greenhouse workers,13
,,Bassano Farms Ltd,"Bassano, AB T0J 0B0",8431-General farm workers,8
,,Beck Farms Ltd,"Red Deer County, AB T4G 0J1",8431-General farm workers,5
,,Big Marble Farms Inc.,"Medicine Hat, AB T1A 7H3",8432-Nursery and greenhouse workers,72
,,Blue Grass Sod Farms Ltd,"Red Deer County, AB T4S 2A9",8432-Nursery and greenhouse workers,12
,,Bonnyville Forest Nursery Inc.,"BONNYVILLE, AB T9N 2M9",8432-Nursery and greenhouse workers,8
,,Broxburn Vegetables Ltd,"Lethbridge, AB T1J 5R9",8432-Nursery and greenhouse workers,9
,,Busy Bee Farm Ltd.,"Hay Lakes, AB T0B 1W0",8431-General farm workers,4
,,Cailliau Farms Ltd.,"ENCHANT, AB T0K 0V0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",3
,,Central Alberta Greenhouses Ltd,"Blackfalds, AB T0M 0J0",8432-Nursery and greenhouse workers,12
,,Chinook Greenhouses (1990) Ltd,"Medicine Hat, AB T1A 1E6",8432-Nursery and greenhouse workers,8
,,Country Gardens & Nursery (Spring Bank) Inc,"Calgary, AB T3Z 3K2",8432-Nursery and greenhouse workers,4
,,Coyote Flats Charolais Ltd,"Coaldale, AB T1M 1M9","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,Creekside Home and Garden Ltd.,"Spruce Grove, AB T7Y 1A9",8431-General farm workers,2
,,De Jong's Honey Farm Ltd,"BROOKS, AB T1R 1C3",8431-General farm workers,4
,,Doug Edgar Farms Ltd,"Red Deer County, AB T4G 0M8",8431-General farm workers,6
,,DR Land & Cattle Ltd,"Esther, AB T0J 1H0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,DV Farms Ltd.,"COALDALE, AB T1M 1N1",8431-General farm workers,1
,,Fuhrhop Farms Ltd.,"Wetaskiwin, AB T9A 1X2","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",4
,,GA Home and Garden Centre Ltd,"Calgary, AB T2K 5X3",8432-Nursery and greenhouse workers,10
,,Good Morning Honey Ltd,"PARKLAND COUNTY, AB T7Y 2E8",8431-General farm workers,5
,,Gouw Quality Onions Ltd,"TABER, AB T1G 1X4",8431-General farm workers,40
,,Greidanus Farms Inc,"Granum, AB T0L 1A0",8431-General farm workers,16
,,Grozone Greenhouse Ltd,"High River, AB T1V 1N2",8432-Nursery and greenhouse workers,31
,,Hagel Feeders Ltd.,"Swalwell, AB T0M 1Y0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",4
,,Hicks Honey Farms Ltd.,"McLennan, AB T0H 2L0",8431-General farm workers,18
,,High Q Greenhouses Inc.,"STURGEON COUNTY, AB T8R 0W7",8432-Nursery and greenhouse workers,6
,,Hillsight Vegetables Inc,"Yellowhead County, AB T7E 3W1",8431-General farm workers,3
,,Hoetmer Honey Company Inc,"Rochester, AB T0G 1Z0",8431-General farm workers,5
,,Honey Meadows Farm Inc,"Foothills, AB T1S 3V7",8431-General farm workers,5
,,Honeybear Apiaries Ltd.,"Leduc County, AB T4X 0Y7",8431-General farm workers,1
,,John Schooten and Sons Custom Feedyard Ltd,"Diamond City, AB T0K 0T0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",7
,,Kamlah Farms Ltd. o/a Kamlah Farms,"DIDSBURY, AB T0M 0W0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,Ken Van Raay Inc.,"Picture Butte, AB T0K 1V0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",3
,,Kiwi Brian's Honey Ltd,"Iron Springs, AB T0K 1G0",8431-General farm workers,13
,,Kiwi Landscaping (1983) Ltd,"SPRUCE GROVE, AB T7X 3G2",8432-Nursery and greenhouse workers,6
,,Lac La Nonne Dairy Ltd.,"RED DEER COUNTY, AB T4E 0G4","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,Lakeside Dairy Ltd,"STURGEON COUNTY, AB T0G 1L2","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,Letniak Farms Ltd,"CONSORT, AB T0C 1B0",0821-Managers in agriculture,1
,,Lewis Farms Ltd,"Spruce Grove, AB T7X 3M9",8431-General farm workers,2
,,Lewisville Pork Farm Limited Partnership,"Wainwright, AB T9W 1S8","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",5
,,Little Lake Farm Ltd.,"Burdett, AB T0K 0J0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,Lynes Apiaries Ltd,"Clyde, AB T0G 0P0",8431-General farm workers,6
,,Meadowbrook Greenhouses Inc,"Penhold, AB T0M 1R0",8432-Nursery and greenhouse workers,42
,,Mighty Peace Honey,"Grimshaw, AB T0H 1W0",8431-General farm workers,1
,,Neilburg Pork Farm Ltd.,"Wainwright, AB T9W 1P3","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",4
,,Nicol Dairy Farms Ltd,"Coalhurst, AB T0L 0V0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,Old Gate Farm Ltd,"Olds, AB T4H 1P2","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,Oyen Greenhouses Ltd,"Oyen, AB T0J 2J0",8432-Nursery and greenhouse workers,20
,,P & J Apiaries Inc.,"Westlock, AB T7P 0A3",8431-General farm workers,17
,,Parkland Nursery & Landscape Services Ltd,"RED DEER, AB T4R 2M2",8432-Nursery and greenhouse workers,12
,,Pleasant Hill Farms Ltd.,"PONOKA, AB T4J 1R3","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",3
,,Pleasant Valley Honey Producers Ltd,"WETASKIWIN, AB T9A 1W8",8431-General farm workers,10
,,Pothole Creek Ranch Inc.,"MAGRATH, AB T0K 1J0",0821-Managers in agriculture,1
,,Provost Livestock Exchange Ltd,"ST. ALBERT, AB T8N 3X4","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,Red Willow Pork Farm Inc.,"Wainwright, AB T9W 1P3","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",5
,,River Rock Apiaries Ltd,"Smoky Lake, AB T0A 3C0",8431-General farm workers,5
,,Rivervalley Produce Inc,"Yellowhead County, AB T7E 3H6",8431-General farm workers,6
,,Rocky Lane Inc.,"IRMA, AB T0B 2H0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,Scandia Honey Corporation,"Scandia, AB T0J 2Z0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,,,8431-General farm workers,2
,,Smoky Lake Forest Nursery Ltd.,"Smoky Lake, AB T0A 3C0",8432-Nursery and greenhouse workers,12
,,Spruit Farms Ltd,"Red Deer County, AB T4E 1R7","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,SRRB Enterprise Inc.,"Falher, AB T0H 1M0",8431-General farm workers,2
,,Sunshine Greenhouses Ltd,"Redcliff, AB T0J 2P0",0821-Managers in agriculture,1
,,,,8432-Nursery and greenhouse workers,10
,,Sunterra Farms Ltd,"Acme, AB T0M 0A0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",4
,,Swan Apiaries Ltd,"High River, AB T1V 1B6",8431-General farm workers,14
,,T Over V Ranch Ltd,"NANTON, AB T0L 1R0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,Tegart Apiaries Honey Farms Ltd,"Fairview, AB T0H 1L0",8431-General farm workers,6
,,The Big Greenhouse Ltd,"Spruce Grove, AB T7X 3M8",8432-Nursery and greenhouse workers,5
,,TPLR Honey Farms Ltd,"PARKLAND COUNTY, AB T7Y 3H1","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",3
,,,,8431-General farm workers,9
,,Tremel Inc.,"Smoky Lake, AB T0A 3C0",8432-Nursery and greenhouse workers,6
,,Van Dijk Dairy Ltd,"Westlock, AB T7P 2P7","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,Van Raay Paskal Farms Ltd,"Picture Butte, AB T0K 1V0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",4
,,,,8431-General farm workers,6
,,Veg-N-Out Farms Inc,"Medicine Hat, AB T1A 7N1",8432-Nursery and greenhouse workers,18
,,W.K Oseen Farms Ltd.,"TABER, AB T1G 2C9",8431-General farm workers,1
,,Westlock Honey Producers Inc,"BUSBY, AB T0G 0H0",8431-General farm workers,6
, Global Talent Stream,10380008 Canada Inc,"CALGARY, AB T2P 3H9",2171-Information systems analysts and consultants,2
,,,,2173-Software engineers and designers,1
,,Alberta Health Services,"EDMONTON, AB T5J 3E4",2174-Computer programmers and interactive media developers,1
,,At Venu Inc.,"CALGARY, AB T2N 1Z6",2174-Computer programmers and interactive media developers,2
,,Canadian Pacific Railway Company,"Calgary, AB T2C 4X9",2171-Information systems analysts and consultants,1
,,Chaordix Inc,"CALGARY, AB T2G 1B1",2174-Computer programmers and interactive media developers,1
,,DevFacto Technologies Inc.,"Edmonton, AB T5J 3R8",2174-Computer programmers and interactive media developers,1
,,Granify Inc,"EDMONTON, AB T5J 3N9",2174-Computer programmers and interactive media developers,1
,,Litwiniuk Professional Corporation,"CALGARY, AB T2V 1H2",2171-Information systems analysts and consultants,1
,,OctopusApp Inc.,"EDMONTON, AB T5J 1Z7",2174-Computer programmers and interactive media developers,2
,,Renoworks Software Inc.,"CALGARY, AB T1Y 7J7",2174-Computer programmers and interactive media developers,1
,,Risk Focus Canada Inc,"CALGARY, AB T2G 2J3",2171-Information systems analysts and consultants,2
,,Silver Creek Software Ltd.,"Edmonton, AB T0B 3M1",2174-Computer programmers and interactive media developers,2
,,Smart Energy Water Inc.,"CALGARY, AB T2P 3Y7",2147-Computer engineers (except software engineers and designers),1
,,,,2171-Information systems analysts and consultants,1
,,SMS Equipment Inc,"FORT MCMURRAY, AB T9H 3G2",2173-Software engineers and designers,1
British Columbia,    High Wage,0714773 BC Ltd.,"Burnaby, BC V5E 1C5","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
